critic_model,dataset,delta_pp,CI_low_pp,CI_high_pp,n_paired
gemma-4,aime,21.875,9.375,37.5,32
gemma-4,gpqa,0.0,-3.0,3.0,100
gemma-4,mmlu_pro,0.0,-3.0,3.0,100
gemma-4,olympiad,8.0,3.0,13.0,100
gpt-oss-no-think,aime,23.404255319148938,6.382978723404255,40.42553191489361,47
gpt-oss-no-think,gpqa,2.0,-7.000000000000001,11.0,100
gpt-oss-no-think,mmlu_pro,2.0,-4.0,8.0,100
gpt-oss-no-think,olympiad,1.0,-8.0,9.0,100
qwen3-no-think,aime,4.3478260869565215,-2.898550724637681,11.594202898550725,69
qwen3-no-think,gpqa,5.681818181818182,-1.1363636363636365,12.5,88
qwen3-no-think,mmlu_pro,-4.040404040404041,-10.1010101010101,1.0101010101010102,99
qwen3-no-think,olympiad,-2.0,-7.000000000000001,3.0,100
