critic,arm,metric,value,n_datasets
gemma-4,legacy_full,macro_repair_success,0.21404067112630804,4
gemma-4,legacy_full,macro_harmful_correction,0.6611061806987854,4
gemma-4,verdict_plus_repair,macro_repair_success,0.18302371780068438,4
gemma-4,verdict_plus_repair,macro_harmful_correction,0.8214285714285714,4
gemma-4,verdict_plus_repair_reversed,macro_repair_success,0.20372103930197638,4
gemma-4,verdict_plus_repair_reversed,macro_harmful_correction,1.0,4
gpt-oss-no-think,legacy_full,macro_repair_success,0.1818547139047906,4
gpt-oss-no-think,legacy_full,macro_harmful_correction,0.7742614816524348,4
gpt-oss-no-think,verdict_plus_repair,macro_repair_success,0.2142371995820272,4
gpt-oss-no-think,verdict_plus_repair,macro_harmful_correction,0.75,4
gpt-oss-no-think,verdict_plus_repair_reversed,macro_repair_success,0.2547153644066322,4
gpt-oss-no-think,verdict_plus_repair_reversed,macro_harmful_correction,0.8392857142857143,4
gpt-oss-think,legacy_full,macro_repair_success,0.3912203259837624,4
gpt-oss-think,legacy_full,macro_harmful_correction,0.48537095088819227,4
qwen3,legacy_full,macro_repair_success,0.18919021282632142,4
qwen3,legacy_full,macro_harmful_correction,0.6717535263244219,4
qwen3-no-think,legacy_full,macro_repair_success,0.10405023376562994,4
qwen3-no-think,legacy_full,macro_harmful_correction,0.6943016371319943,4
qwen3-no-think,verdict_plus_repair,macro_repair_success,0.1021809610038045,4
qwen3-no-think,verdict_plus_repair,macro_harmful_correction,0.6326785714285713,4
