critic,condition,dataset,pipeline,n_wrong,wrong_accepted_rate,wrong_repaired_correct_rate,wrong_repaired_incorrect_rate,n_correct,correct_accepted_rate,false_rejected_rate,harmful_correction_rate
gemma-4,anonymous,aime,gated,32,0.0,0.3125,0.6875,50,0.8,0.2,0.04
gemma-4,anonymous,aime,oneshot,32,0.21875,0.0625,0.71875,50,0.82,,0.06
gemma-4,anonymous,gpqa,gated,100,0.37,0.0,0.63,50,1.0,0.0,0.0
gemma-4,anonymous,gpqa,oneshot,100,0.37,0.06,0.57,50,1.0,,0.0
gemma-4,anonymous,mmlu_pro,gated,100,0.65,0.22,0.13,50,0.96,0.04,0.04
gemma-4,anonymous,mmlu_pro,oneshot,100,0.65,0.19,0.16,50,0.96,,0.04
gemma-4,anonymous,olympiad,gated,100,0.53,0.0,0.47,50,0.94,0.06,0.06
gemma-4,anonymous,olympiad,oneshot,100,0.61,0.03,0.36,50,0.96,,0.04
gemma-4,other_model,aime,gated,32,0.0,0.375,0.625,50,0.76,0.24,0.02
gemma-4,other_model,aime,oneshot,32,0.125,0.09375,0.78125,50,0.82,,0.04
gemma-4,other_model,gpqa,gated,100,0.36,0.0,0.64,50,1.0,0.0,0.0
gemma-4,other_model,gpqa,oneshot,100,0.37,0.02,0.61,50,1.0,,0.0
gemma-4,other_model,mmlu_pro,gated,100,0.66,0.2,0.14,50,0.96,0.04,0.04
gemma-4,other_model,mmlu_pro,oneshot,100,0.64,0.19,0.17,50,0.96,,0.04
gemma-4,other_model,olympiad,gated,100,0.52,0.0,0.48,50,0.92,0.08,0.08
gemma-4,other_model,olympiad,oneshot,100,0.61,0.01,0.38,50,0.94,,0.06
gpt-oss-no-think,anonymous,aime,gated,47,0.40425531914893614,0.0851063829787234,0.5106382978723404,43,0.9767441860465116,0.023255813953488372,0.0
gpt-oss-no-think,anonymous,aime,oneshot,47,0.6382978723404256,0.02127659574468085,0.3404255319148936,43,0.9767441860465116,,0.023255813953488372
gpt-oss-no-think,anonymous,gpqa,gated,100,0.48,0.0,0.52,50,0.8,0.2,0.2
gpt-oss-no-think,anonymous,gpqa,oneshot,100,0.5,0.0,0.5,50,0.82,,0.12
gpt-oss-no-think,anonymous,mmlu_pro,gated,100,0.76,0.05,0.19,50,0.88,0.12,0.08
gpt-oss-no-think,anonymous,mmlu_pro,oneshot,100,0.78,0.06,0.16,50,0.88,,0.12
gpt-oss-no-think,anonymous,olympiad,gated,100,0.79,0.02,0.19,50,0.96,0.04,0.0
gpt-oss-no-think,anonymous,olympiad,oneshot,100,0.8,0.02,0.18,50,0.98,,0.0
gpt-oss-no-think,self,aime,gated,47,0.3829787234042553,0.06382978723404255,0.5531914893617021,43,0.9534883720930233,0.046511627906976744,0.023255813953488372
gpt-oss-no-think,self,aime,oneshot,47,0.5319148936170213,0.1276595744680851,0.3404255319148936,43,0.9534883720930233,,0.046511627906976744
gpt-oss-no-think,self,gpqa,gated,100,0.53,0.0,0.47,50,0.8,0.2,0.2
gpt-oss-no-think,self,gpqa,oneshot,100,0.54,0.0,0.46,50,0.78,,0.16
gpt-oss-no-think,self,mmlu_pro,gated,100,0.78,0.06,0.16,50,0.9,0.1,0.02
gpt-oss-no-think,self,mmlu_pro,oneshot,100,0.76,0.05,0.19,50,0.9,,0.08
gpt-oss-no-think,self,olympiad,gated,100,0.76,0.01,0.23,50,0.96,0.04,0.0
gpt-oss-no-think,self,olympiad,oneshot,100,0.82,0.02,0.16,50,0.98,,0.0
qwen3-no-think,anonymous,aime,gated,69,0.30434782608695654,0.0,0.6956521739130435,21,0.9523809523809523,0.047619047619047616,0.0
qwen3-no-think,anonymous,aime,oneshot,69,0.34782608695652173,0.014492753623188406,0.6376811594202898,21,0.9523809523809523,,0.047619047619047616
qwen3-no-think,anonymous,gpqa,gated,88,0.5795454545454546,0.0,0.42045454545454547,50,0.78,0.22,0.22
qwen3-no-think,anonymous,gpqa,oneshot,88,0.6363636363636364,0.0,0.36363636363636365,50,0.8,,0.18
qwen3-no-think,anonymous,mmlu_pro,gated,99,0.7474747474747475,0.030303030303030304,0.2222222222222222,50,0.94,0.06,0.0
qwen3-no-think,anonymous,mmlu_pro,oneshot,99,0.7070707070707071,0.0707070707070707,0.2222222222222222,50,0.88,,0.1
qwen3-no-think,anonymous,olympiad,gated,100,0.6,0.06,0.34,50,0.9,0.1,0.02
qwen3-no-think,anonymous,olympiad,oneshot,100,0.58,0.04,0.38,50,0.92,,0.06
qwen3-no-think,self,aime,gated,69,0.2898550724637681,0.0,0.7101449275362319,21,0.9523809523809523,0.047619047619047616,0.0
qwen3-no-think,self,aime,oneshot,69,0.391304347826087,0.014492753623188406,0.5942028985507246,21,0.9523809523809523,,0.047619047619047616
qwen3-no-think,self,gpqa,gated,88,0.5909090909090909,0.0,0.4090909090909091,50,0.78,0.22,0.22
qwen3-no-think,self,gpqa,oneshot,88,0.5909090909090909,0.0,0.4090909090909091,50,0.8,,0.2
qwen3-no-think,self,mmlu_pro,gated,99,0.7575757575757576,0.030303030303030304,0.21212121212121213,50,0.94,0.06,0.0
qwen3-no-think,self,mmlu_pro,oneshot,99,0.7171717171717171,0.04040404040404041,0.24242424242424243,50,0.9,,0.08
qwen3-no-think,self,olympiad,gated,100,0.59,0.06,0.35,50,0.9,0.1,0.02
qwen3-no-think,self,olympiad,oneshot,100,0.61,0.03,0.36,50,0.9,,0.04
