critic,arm,condition,n_wrong,n_rejected_wrong,repair_success_rate,repair_fail_rate,n_correct,n_rejected_correct,harmful_correction_rate
gemma-4,legacy_full,anonymous,594,319,0.22570532915360503,0.774294670846395,720,54,0.7592592592592593
gemma-4,legacy_full,human,598,316,0.20253164556962025,0.7974683544303798,726,56,0.7321428571428571
gemma-4,legacy_full,other_model,608,336,0.23511904761904762,0.7648809523809523,724,69,0.6956521739130435
gemma-4,legacy_full,self,603,330,0.20606060606060606,0.793939393939394,726,66,0.7272727272727273
gemma-4,legacy_full,strong_model,603,321,0.21806853582554517,0.7819314641744548,723,57,0.7192982456140351
gemma-4,legacy_full,weak_model,604,343,0.21282798833819241,0.7871720116618076,723,78,0.7435897435897436
gemma-4,verdict_plus_repair,anonymous,291,162,0.18518518518518517,0.8148148148148148,197,13,0.5384615384615384
gemma-4,verdict_plus_repair,other_model,294,166,0.15060240963855423,0.8493975903614458,196,14,0.5
gemma-4,verdict_plus_repair,weak_model,291,166,0.1686746987951807,0.8313253012048193,194,16,0.5625
gpt-oss-no-think,legacy_full,anonymous,3728,824,0.16990291262135923,0.8300970873786407,3645,207,0.7439613526570048
gpt-oss-no-think,legacy_full,human,3778,921,0.1465798045602606,0.8534201954397395,3645,240,0.8166666666666667
gpt-oss-no-think,legacy_full,other_model,3712,860,0.15813953488372093,0.8418604651162791,3650,194,0.8092783505154639
gpt-oss-no-think,legacy_full,self,3791,888,0.16554054054054054,0.8344594594594594,3654,191,0.8429319371727748
gpt-oss-no-think,legacy_full,strong_model,1267,251,0.2549800796812749,0.7450199203187251,1183,60,0.7333333333333333
gpt-oss-no-think,legacy_full,weak_model,3730,865,0.18728323699421964,0.8127167630057803,3682,229,0.8165938864628821
gpt-oss-no-think,verdict_plus_repair,anonymous,255,66,0.13636363636363635,0.8636363636363636,180,13,1.0
gpt-oss-no-think,verdict_plus_repair,self,265,75,0.17333333333333334,0.8266666666666667,181,14,1.0
gpt-oss-no-think,verdict_plus_repair,weak_model,252,69,0.18840579710144928,0.8115942028985508,183,15,0.9333333333333333
gpt-oss-no-think,verdict_plus_repair_reversed,anonymous,61,58,0.25862068965517243,0.7413793103448276,9,9,1.0
gpt-oss-no-think,verdict_plus_repair_reversed,self,63,60,0.25,0.75,12,11,0.7272727272727273
gpt-oss-no-think,verdict_plus_repair_reversed,weak_model,67,63,0.23809523809523808,0.7619047619047619,6,5,1.0
gpt-oss-think,legacy_full,anonymous,2674,688,0.33430232558139533,0.6656976744186046,3644,201,0.6119402985074627
gpt-oss-think,legacy_full,human,2668,704,0.3338068181818182,0.6661931818181818,3626,193,0.6528497409326425
gpt-oss-think,legacy_full,other_model,2669,680,0.3205882352941177,0.6794117647058824,3639,171,0.631578947368421
gpt-oss-think,legacy_full,self,2661,682,0.3225806451612903,0.6774193548387096,3634,172,0.6627906976744186
gpt-oss-think,legacy_full,strong_model,3,3,1.0,0.0,21,0,
gpt-oss-think,legacy_full,weak_model,2668,690,0.3115942028985507,0.6884057971014492,3643,189,0.5925925925925926
qwen3,legacy_full,anonymous,2701,823,0.2867557715674362,0.7132442284325637,4551,358,0.7011173184357542
qwen3,legacy_full,human,2692,868,0.28225806451612906,0.717741935483871,4540,348,0.7183908045977011
qwen3,legacy_full,other_model,2694,826,0.26634382566585957,0.7336561743341404,4545,347,0.7521613832853026
qwen3,legacy_full,self,2694,832,0.29086538461538464,0.7091346153846154,4541,332,0.7530120481927711
qwen3,legacy_full,strong_model,2,0,,,19,1,1.0
qwen3,legacy_full,weak_model,2683,885,0.288135593220339,0.711864406779661,4542,364,0.6730769230769231
qwen3-no-think,legacy_full,anonymous,6155,2680,0.15,0.85,8373,1137,0.6974494283201407
qwen3-no-think,legacy_full,human,6136,2745,0.15081967213114755,0.8491803278688524,8346,1203,0.6874480465502909
qwen3-no-think,legacy_full,other_model,6073,2856,0.15126050420168066,0.8487394957983193,8289,1259,0.6894360603653693
qwen3-no-think,legacy_full,self,6152,2726,0.15480557593543653,0.8451944240645635,8283,1149,0.68059181897302
qwen3-no-think,legacy_full,strong_model,1311,527,0.1157495256166983,0.8842504743833017,1396,153,0.7647058823529411
qwen3-no-think,legacy_full,weak_model,6142,3104,0.14980670103092783,0.8501932989690721,8414,1456,0.695054945054945
qwen3-no-think,verdict_plus_repair,anonymous,577,231,0.10822510822510822,0.8917748917748918,351,48,0.6875
qwen3-no-think,verdict_plus_repair,self,583,244,0.0860655737704918,0.9139344262295082,352,56,0.5714285714285714
qwen3-no-think,verdict_plus_repair,weak_model,573,276,0.10869565217391304,0.8913043478260869,351,66,0.6212121212121212
